pin ,rotation speed,torque,Power,volumetric flow rate (DN 40),p1,p2,p3,p4,p5,p6,room temp
bara,U/min,Nm,W,Nmｳ/h,bar,bar,bar,bar,bar,bar,ｰC
9.02,3280.858464,-3.282088,-1058.889499,48.872802,0.980102,0.977905,0.974324,0.979586,0.97899,0.979739,21.749303
9.02,3280.807994,-3.279765,-1058.12318,48.884788,0.980092,0.977902,0.974335,0.97958,0.978986,0.979739,21.749361
9.02,3278.78923,-3.186844,-1027.470422,49.364238,0.979665,0.977788,0.974799,0.979348,0.978831,0.979749,21.751672
9.02,3278.76039,-3.187324,-1027.615728,49.337389,0.97968,0.9778,0.974792,0.979355,0.978839,0.979751,21.750482
9.02,3278.19802,-3.196697,-1030.449188,48.813829,0.979981,0.978026,0.974659,0.979497,0.978999,0.979804,21.727273
9.02,3278.390283,-3.19926,-1031.340372,48.813829,0.979996,0.978009,0.974688,0.979498,0.978978,0.979816,21.731109
9.02,3280.168719,-3.222971,-1039.583829,48.813829,0.98013,0.977858,0.974957,0.979511,0.978785,0.979921,21.766595
9.02,3280.144686,-3.241395,-1045.518128,49.147047,0.98012,0.97789,0.974913,0.979503,0.978839,0.979916,21.7696
9.02,3279.971649,-3.374049,-1088.245078,51.546216,0.980047,0.978119,0.974594,0.979446,0.979227,0.979879,21.79123
9.02,3279.91397,-3.388948,-1093.029684,51.767722,0.980048,0.978094,0.974596,0.979461,0.979196,0.9799,21.787209
9.02,3279.577509,-3.475862,-1120.939888,53.059841,0.980056,0.977946,0.974608,0.979548,0.979013,0.980023,21.763753
9.02,3279.500604,-3.449588,-1112.439671,52.112447,0.979892,0.977896,0.97462,0.979513,0.978996,0.980011,21.7644
9.02,3279.183369,-3.341206,-1077.376275,48.204448,0.979218,0.977686,0.974673,0.979367,0.978924,0.979958,21.767069
9.02,3279.248258,-3.308042,-1066.704352,48.269174,0.9795,0.977733,0.974686,0.979388,0.978917,0.979944,21.770657
9.02,3279.478974,-3.190128,-1028.759737,48.49931,0.980503,0.9779,0.974733,0.979464,0.978892,0.979893,21.783413
9.02,3279.92839,-3.202464,-1032.890232,48.615337,0.98041,0.977921,0.974707,0.979476,0.978904,0.979867,21.772419
9.02,3281.154068,-3.236108,-1044.155217,48.931774,0.980158,0.977979,0.974636,0.979506,0.978938,0.979795,21.742433
9.02,3280.46192,-3.276481,-1056.937288,49.731497,0.980036,0.977969,0.974661,0.979538,0.97894,0.979833,21.750129
9.02,3278.78923,-3.374049,-1087.827294,51.664161,0.979739,0.977946,0.974724,0.979614,0.978943,0.979925,21.768727
9.02,3278.914201,-3.346973,-1079.140926,50.193208,0.979766,0.977868,0.974641,0.979572,0.978877,0.979977,21.786377
9.02,3279.183369,-3.288657,-1060.431826,47.025001,0.979823,0.9777,0.974463,0.979483,0.978733,0.980088,21.824392
9.02,3279.579912,-3.324704,-1072.19596,47.420547,0.979878,0.977764,0.974577,0.979393,0.978773,0.979973,21.813906
9.02,3280.267254,-3.387186,-1092.587127,48.106161,0.979972,0.977877,0.974775,0.979236,0.978841,0.979772,21.795731
9.02,3280.382612,-3.388468,-1093.041509,48.259585,0.979772,0.977844,0.974744,0.979298,0.978853,0.979795,21.800445
9.02,3280.562859,-3.39047,-1093.751482,48.49931,0.97946,0.977793,0.974696,0.979395,0.978873,0.979832,21.807811
9.02,3280.031731,-3.385023,-1091.806413,49.037253,0.979653,0.977785,0.974681,0.979422,0.978794,0.979707,21.798186
9.02,3279.281904,-3.377333,-1089.060432,49.796702,0.979925,0.977774,0.974659,0.97946,0.978682,0.97953,21.784598
9.02,3276.49649,-3.314931,-1067.992406,47.920134,0.979856,0.977772,0.974676,0.979494,0.978773,0.979577,21.791184
9.02,3273.271273,-3.242677,-1043.597849,45.747266,0.979776,0.977769,0.974696,0.979534,0.978878,0.979632,21.79881
,,,,,,,,,,,
9.02,3279.35508,-3.305506586,-1065.92762,49.1880981,0.97990531,0.977872862,0.974665966,0.979465034,0.978903931,0.979839517,21.77442324
,,,,,,,,,,,
9.02,2981.436872,-3.295226,-1028.819988,48.145476,0.979925,0.977681,0.97457,0.979492,0.978617,0.979572,21.795257
9.02,2981.667587,-3.270233,-1021.095451,47.91534,0.979844,0.977782,0.974396,0.979454,0.978568,0.979553,21.803992
9.02,2981.83101,-3.25253,-1015.623904,47.752327,0.979786,0.977853,0.974272,0.979427,0.978533,0.979539,21.81018
9.02,2982.705805,-3.312929,-1034.79062,47.415753,0.979715,0.977839,0.974193,0.979312,0.978672,0.979563,21.802519
9.02,2983.210495,-3.347774,-1045.84834,47.221575,0.979674,0.97783,0.974147,0.979246,0.978752,0.979576,21.7981
9.02,2984.248713,-3.427799,-1071.225381,47.027398,0.97976,0.977833,0.974269,0.979347,0.978544,0.979432,21.797008
9.02,2984.787049,-3.469294,-1084.383846,46.926713,0.979804,0.977835,0.974333,0.979399,0.978435,0.979357,21.796441
9.02,2982.835583,-3.502938,-1094.180807,48.470543,0.979626,0.977793,0.974565,0.979485,0.978391,0.979564,21.817956
9.02,2981.929545,-3.518558,-1098.729395,49.187321,0.979544,0.977774,0.974673,0.979525,0.97837,0.97966,21.827945
9.02,2980.27128,-3.391191,-1058.376145,49.403074,0.979843,0.977699,0.974707,0.979235,0.978578,0.979725,21.80732
9.02,2979.663249,-3.34449,-1043.579954,49.482183,0.979953,0.977672,0.974719,0.979129,0.978654,0.979749,21.799758
9.02,2982.717822,-3.339524,-1043.097971,46.583907,0.980193,0.977827,0.974691,0.979281,0.978665,0.979706,21.816055
9.02,2983.703168,-3.337922,-1042.942493,45.648979,0.98027,0.977877,0.974682,0.979329,0.978668,0.979693,21.821313
9.02,2983.62386,-3.340565,-1043.740701,48.465269,0.98,0.977922,0.974603,0.979254,0.978634,0.979513,21.841331
9.02,2983.604633,-3.341206,-1043.934206,49.148006,0.979935,0.977932,0.974584,0.979236,0.978626,0.979469,21.846183
9.02,2984.094903,-3.371165,-1053.468142,48.936089,0.979664,0.977782,0.974461,0.979124,0.978792,0.979577,21.838916
9.02,2984.195841,-3.377333,-1055.431011,48.892459,0.979609,0.977751,0.974435,0.979101,0.978827,0.9796,21.837419
9.02,2983.691151,-3.307241,-1033.352855,46.375346,0.979975,0.97785,0.974511,0.979352,0.978862,0.979655,21.813357
9.02,2983.604633,-3.295226,-1029.568029,45.943841,0.980037,0.977867,0.974524,0.979395,0.978868,0.979665,21.809232
9.02,2986.716885,-3.304117,-1033.423329,48.285475,0.980365,0.97772,0.974406,0.9795,0.97873,0.979673,21.826974
9.02,2987.053345,-3.305079,-1033.840118,48.538625,0.9804,0.977704,0.974393,0.979511,0.978715,0.979674,21.828892
,,,,,,,,,,,
9.02,2983.218735,-3.354873333,-1048.069176,47.89360471,0.979901048,0.977801095,0.974482571,0.979339714,0.978642905,0.979595952,21.81600705
,,,,,,,,,,,
9.02,2807.862677,-3.482511,-1023.997706,48.575543,0.979285,0.977789,0.974574,0.979374,0.978562,0.979614,21.835837
9.02,2800.922037,-3.400323,-997.355198,45.806238,0.979199,0.977742,0.974743,0.979171,0.978519,0.979744,21.848789
9.02,2800.958086,-3.399923,-997.250543,46.185004,0.979257,0.977738,0.974697,0.979201,0.978528,0.979741,21.846074
9.02,2801.217639,-3.397039,-996.497029,48.912117,0.979674,0.977709,0.974365,0.979418,0.978589,0.979721,21.826524
9.02,2800.958086,-3.402807,-998.095497,48.820062,0.979682,0.977731,0.974398,0.979416,0.97858,0.979739,21.832278
9.02,2799.444027,-3.436451,-1007.419892,48.283078,0.97973,0.977858,0.974589,0.979404,0.978529,0.979846,21.865843
9.02,2799.780485,-3.4129,-1000.63201,47.474246,0.979759,0.977864,0.974572,0.979435,0.978545,0.979827,21.864468
9.02,2801.414707,-3.29851,-967.662294,43.545631,0.979898,0.977891,0.974487,0.979586,0.978626,0.979735,21.85779
9.02,2801.587742,-3.320138,-974.068814,44.188574,0.979771,0.977924,0.974525,0.979528,0.978645,0.979794,21.864029
9.02,2802.202979,-3.397039,-996.847551,46.474592,0.97932,0.978044,0.974664,0.979325,0.97871,0.980005,21.886212
9.02,2803.092188,-3.401845,-998.5761,46.460208,0.979459,0.978041,0.974634,0.979301,0.978682,0.979947,21.887599
9.02,2805.848737,-3.416745,-1003.934601,46.41562,0.979888,0.97803,0.974542,0.979227,0.978594,0.979767,21.891897
9.02,2803.137851,-3.442699,-1010.565479,44.896721,0.979771,0.977947,0.974564,0.979303,0.978696,0.979718,21.883439
9.02,2796.586541,-3.505421,-1026.590101,41.226051,0.979488,0.977746,0.974617,0.979488,0.978943,0.9796,21.863
9.02,2797.023936,-3.490842,-1022.479103,42.70947,0.979653,0.977738,0.974569,0.979529,0.978849,0.979566,21.867368
9.02,2797.867483,-3.462725,-1014.550748,45.570349,0.979972,0.977723,0.974477,0.979609,0.978668,0.979502,21.875791
9.02,2798.191924,-3.493966,-1023.824641,46.76418,0.979999,0.977754,0.974537,0.979628,0.978641,0.979582,21.875791
9.02,2798.754289,-3.548117,-1039.899389,48.833487,0.980047,0.977807,0.97464,0.97966,0.978594,0.979721,21.875791
9.02,2797.523816,-3.55068,-1040.192632,48.097051,0.979763,0.977845,0.974622,0.979511,0.978594,0.979733,21.871446
9.02,2795.601202,-3.554686,-1040.650824,46.946371,0.97932,0.977905,0.974594,0.979278,0.978594,0.979753,21.864658
9.02,2798.499543,-3.505661,-1027.343753,44.633503,0.97952,0.977833,0.974547,0.979401,0.978653,0.979778,21.870274
9.02,2802.202979,-3.443019,-1010.340272,41.678173,0.979776,0.977742,0.974487,0.979558,0.978729,0.979809,21.877449
9.02,2800.239509,-3.453673,-1012.753974,41.978788,0.979789,0.977742,0.974484,0.979497,0.978727,0.979779,21.871192
,,,,,,,,,,,
9.02,2800.474716,-3.444248696,-1010.066441,45.84674161,0.979653043,0.977832304,0.974562087,0.979428174,0.978643348,0.979740043,21.86537126
,,,,,,,,,,,
9.02,2595.282267,-3.607234,-980.364528,43.486658,0.980307,0.977863,0.974547,0.979558,0.978859,0.979828,21.87437
9.02,2595.073184,-3.662988,-995.436238,45.016105,0.979794,0.9778,0.974662,0.979584,0.978823,0.979861,21.880903
9.02,2594.986667,-3.686058,-1001.672807,45.648979,0.979581,0.977774,0.97471,0.979595,0.978808,0.979874,21.883607
9.02,2592.174862,-3.625979,-984.285444,46.59829,0.979853,0.977938,0.974564,0.979421,0.978852,0.979632,21.882567
9.02,2591.143867,-3.60395,-977.910077,46.946371,0.979953,0.977998,0.97451,0.979357,0.978868,0.979544,21.882186
9.02,2590.100855,-3.623816,-982.904097,44.598024,0.979517,0.978005,0.974612,0.979287,0.978854,0.97973,21.880932
9.02,2589.7644,-3.630225,-984.515071,43.840493,0.979376,0.978007,0.974645,0.979264,0.97885,0.97979,21.880528
9.02,2591.191932,-3.54299,-961.383655,42.147554,0.979593,0.977996,0.974622,0.979493,0.978816,0.97985,21.893682
9.02,2591.538,-3.521843,-955.776039,41.737145,0.979646,0.977993,0.974617,0.979548,0.978808,0.979865,21.896871
9.02,2593.253922,-3.402006,-923.860917,44.443162,0.979468,0.977808,0.974652,0.97944,0.978819,0.979784,21.857391
9.02,2593.6072,-3.377333,-917.290156,45.000283,0.979432,0.977769,0.974659,0.979418,0.978822,0.979767,21.849263
9.02,2592.74203,-3.339844,-906.805919,46.881645,0.979759,0.977647,0.974467,0.979316,0.978797,0.979657,21.881082
9.02,2592.621867,-3.334637,-905.349775,47.142946,0.979804,0.97763,0.97444,0.979302,0.978794,0.979641,21.885502
9.02,2593.51107,-3.322782,-902.440301,43.151523,0.979586,0.977983,0.97457,0.979507,0.978849,0.979784,21.925899
9.02,2593.6072,-3.3215,-902.125763,42.720018,0.979562,0.978021,0.974584,0.97953,0.978854,0.9798,21.930266
9.02,2598.812645,-3.36716,-916.364508,42.173445,0.97951,0.977784,0.974537,0.979663,0.978893,0.979731,21.897558
9.02,2599.223602,-3.370765,-917.488619,42.130294,0.979506,0.977765,0.974533,0.979674,0.978896,0.979725,21.894976
9.02,2598.550691,-3.58865,-976.541621,47.864518,0.979815,0.978042,0.974697,0.97942,0.978874,0.979843,21.903988
9.02,2598.533868,-3.594097,-978.017946,48.007874,0.979823,0.978049,0.974701,0.979413,0.978873,0.979846,21.904213
9.02,2595.873467,-3.646646,-991.301484,46.513907,0.979655,0.978026,0.97457,0.979404,0.978822,0.979809,21.871054
9.02,2595.748498,-3.645845,-991.036435,46.426647,0.979647,0.978021,0.974572,0.979408,0.978816,0.979812,21.872151
,,,,,,,,,,,
9.02,2594.159147,-3.51506419,-954.8986381,44.87980386,0.979675571,0.977900905,0.974593857,0.979457238,0.978840333,0.979770143,21.88709471
,,,,,,,,,,,
9.98,3258.933253,-3.6573,-1171.041954,52.407789,0.979706,0.9779,0.974854,0.979963,0.979049,0.979896,21.932415
9.98,3278.78923,-3.485715,-1123.829638,54.062371,0.979702,0.977756,0.974934,0.979944,0.979013,0.9798,21.911792
9.98,3279.039172,-3.660664,-1180.333488,55.620585,0.979903,0.977874,0.974951,0.979669,0.978989,0.979806,21.937775
9.98,3279.183369,-3.761597,-1212.931863,56.519554,0.980019,0.977942,0.974962,0.979511,0.978976,0.979809,21.952766
9.98,3279.572703,-3.724829,-1201.227002,54.176481,0.980154,0.977951,0.97475,0.979597,0.978963,0.979809,21.933582
9.98,3279.774579,-3.705764,-1195.157815,52.961554,0.980224,0.977956,0.97464,0.979641,0.978957,0.979809,21.923634
9.98,3279.909163,-3.799967,-1225.593842,52.948129,0.979867,0.978064,0.974628,0.979721,0.978957,0.979796,21.913768
9.98,3279.971649,-3.843704,-1239.724855,52.941896,0.979702,0.978114,0.974622,0.979758,0.978957,0.97979,21.909187
9.98,3278.926217,-3.776336,-1217.585933,54.916272,0.979774,0.977956,0.974823,0.979751,0.97895,0.97984,21.920076
9.98,3278.493625,-3.74846,-1208.425,55.733256,0.979804,0.977891,0.974906,0.979749,0.978948,0.97986,21.924582
9.98,3279.214612,-3.777297,-1218.00769,55.819557,0.979729,0.978017,0.974705,0.979592,0.978971,0.979819,21.923369
9.98,3279.478974,-3.787871,-1221.521343,55.8512,0.979702,0.978063,0.974631,0.979534,0.97898,0.979804,21.922924
9.98,3279.863501,-3.746857,-1208.44555,54.117508,0.98016,0.978103,0.974635,0.979502,0.978798,0.979739,21.917748
9.98,3279.971649,-3.735322,-1204.767984,53.629907,0.980289,0.978114,0.974636,0.979492,0.978747,0.979721,21.916292
9.98,3280.526809,-3.737966,-1205.837939,52.759705,0.980019,0.978024,0.974699,0.979432,0.978871,0.979833,21.917627
9.98,3280.661394,-3.738607,-1206.097322,52.548747,0.979953,0.978002,0.974715,0.979418,0.978901,0.97986,21.91795
9.98,3279.063205,-3.721785,-1200.048026,61.106935,0.979627,0.978078,0.974929,0.979704,0.978802,0.979884,21.911278
9.98,3278.78923,-3.718901,-1199.011004,62.574053,0.979572,0.978091,0.974966,0.979753,0.978785,0.979888,21.910134
9.98,3279.135304,-3.698714,-1192.636632,55.445586,0.980283,0.978054,0.974696,0.979647,0.978858,0.979896,21.937377
9.98,3279.183369,-3.695911,-1191.751302,54.455521,0.980382,0.978049,0.974659,0.979632,0.978868,0.979898,21.941161
,,,,,,,,,,,
9.98,3278.42405,-3.72617835,-1201.198809,55.0298303,0.97992855,0.97799995,0.97476705,0.9796505,0.978917,0.97982785,21.92377185
,,,,,,,,,,,
9.98,3078.666662,-3.717539,-1198.526938,55.952844,0.98008,0.97808,0.97492,0.979731,0.978987,0.9799,21.920856
9.98,3080.858464,-3.866694,-1247.499037,56.991333,0.980037,0.977942,0.974747,0.979329,0.978841,0.979814,21.873659
9.98,3080.810398,-3.861488,-1245.799929,56.682088,0.980079,0.977938,0.974765,0.979338,0.978862,0.979874,21.879262
9.98,3080.464324,-3.823998,-1233.566351,54.455521,0.980382,0.977909,0.974892,0.979399,0.979017,0.980312,21.919608
9.98,3080.190348,-3.828324,-1234.851188,54.323192,0.980285,0.977951,0.974873,0.979416,0.979003,0.980277,21.915934
9.98,3078.59216,-3.853557,-1242.346069,53.551277,0.979721,0.978198,0.974766,0.979511,0.97892,0.980075,21.894502
9.98,3070.315231,-3.835614,-1233.312263,53.6184,0.979737,0.978168,0.974751,0.979531,0.978929,0.980048,21.897939
9.98,3030.113008,-3.74846,-1189.433781,53.944427,0.979814,0.978026,0.974677,0.979627,0.978976,0.979921,21.914634
9.98,3028.46916,-3.768646,-1195.178095,53.77614,0.979832,0.97804,0.974669,0.979598,0.978926,0.979948,21.913074
9.98,3022.624367,-3.84042,-1215.602323,53.177786,0.979898,0.978091,0.97464,0.979492,0.978752,0.980047,21.907529
9.98,3019.283799,-3.849232,-1217.035321,52.194913,0.979886,0.978073,0.974689,0.979472,0.978788,0.980002,21.901232
9.98,3008.92804,-3.876547,-1221.477616,49.148006,0.979851,0.978016,0.97484,0.979409,0.978901,0.979865,21.881712
